AIB parody party music video.
Heart sensor crapped out. 
Walked before.




H: 60 T: 1454385108.0
B: 18 T: 1454385108.0
H: 60 T: 1454385109.0
B: 17 T: 1454385109.0
H: 60 T: 1454385110.0
B: 17 T: 1454385110.0
H: 61 T: 1454385111.0
B: 18 T: 1454385111.0
H: 62 T: 1454385112.0
B: 18 T: 1454385112.0
H: 63 T: 1454385113.0
B: 19 T: 1454385113.0
H: 64 T: 1454385114.0
B: 19 T: 1454385114.0
H: 66 T: 1454385115.0
B: 19 T: 1454385115.0
H: 67 T: 1454385116.0
B: 20 T: 1454385116.0
H: 66 T: 1454385117.0
B: 20 T: 1454385117.0
H: 65 T: 1454385118.0
B: 20 T: 1454385118.0
H: 64 T: 1454385119.0
B: 20 T: 1454385119.0
H: 62 T: 1454385120.0
B: 20 T: 1454385120.0
H: 60 T: 1454385121.0
B: 20 T: 1454385121.0
H: 59 T: 1454385122.0
B: 20 T: 1454385122.0
H: 58 T: 1454385123.0
B: 21 T: 1454385123.0
H: 57 T: 1454385124.0
B: 21 T: 1454385124.0
H: 57 T: 1454385125.0
B: 21 T: 1454385125.0
H: 57 T: 1454385126.0
B: 20 T: 1454385126.0
H: 57 T: 1454385127.0
B: 19 T: 1454385127.0
H: 58 T: 1454385128.0
B: 19 T: 1454385128.0
H: 59 T: 1454385129.0
B: 19 T: 1454385129.0
H: 59 T: 1454385130.0
B: 19 T: 1454385130.0
H: 60 T: 1454385131.0
B: 19 T: 1454385131.0
H: 59 T: 1454385132.0
B: 19 T: 1454385132.0
H: 59 T: 1454385133.0
B: 19 T: 1454385133.0
H: 59 T: 1454385134.0
B: 19 T: 1454385134.0
H: 59 T: 1454385135.0
B: 19 T: 1454385135.0
H: 59 T: 1454385136.0
B: 19 T: 1454385136.0
H: 59 T: 1454385137.0
B: 19 T: 1454385137.0
H: 59 T: 1454385138.0
B: 19 T: 1454385138.0
H: 60 T: 1454385139.0
B: 19 T: 1454385139.0
H: 62 T: 1454385140.0
B: 19 T: 1454385140.0
H: 62 T: 1454385141.0
B: 19 T: 1454385141.0
H: 62 T: 1454385142.0
B: 20 T: 1454385142.0
H: 62 T: 1454385143.0
B: 20 T: 1454385143.0
H: 61 T: 1454385144.0
B: 20 T: 1454385144.0
H: 60 T: 1454385145.0
B: 20 T: 1454385145.0
H: 60 T: 1454385146.0
B: 20 T: 1454385146.0
H: 60 T: 1454385147.0
B: 20 T: 1454385147.0
H: 60 T: 1454385148.0
B: 20 T: 1454385148.0
H: 61 T: 1454385149.0
B: 20 T: 1454385149.0
H: 61 T: 1454385150.0
B: 20 T: 1454385150.0
H: 61 T: 1454385151.0
B: 21 T: 1454385151.0
H: 61 T: 1454385152.0
B: 21 T: 1454385152.0
H: 61 T: 1454385153.0
B: 21 T: 1454385153.0
H: 61 T: 1454385154.0
B: 20 T: 1454385154.0
H: 61 T: 1454385155.0
B: 21 T: 1454385155.0
H: 62 T: 1454385156.0
B: 21 T: 1454385156.0
H: 61 T: 1454385157.0
B: 21 T: 1454385157.0
H: 60 T: 1454385158.0
B: 21 T: 1454385158.0
H: 60 T: 1454385159.0
B: 20 T: 1454385159.0
H: 59 T: 1454385160.0
B: 20 T: 1454385160.0
H: 60 T: 1454385161.0
B: 20 T: 1454385161.0
H: 60 T: 1454385162.0
B: 20 T: 1454385162.0
H: 60 T: 1454385163.0
B: 20 T: 1454385163.0


H: 61 T: 1454385164.0
B: 20 T: 1454385164.0
H: 62 T: 1454385165.0
B: 21 T: 1454385165.0
H: 63 T: 1454385166.0
B: 21 T: 1454385166.0
H: 63 T: 1454385167.0
B: 21 T: 1454385167.0
H: 63 T: 1454385168.0
B: 21 T: 1454385168.0
H: 62 T: 1454385169.0
B: 21 T: 1454385169.0
H: 61 T: 1454385170.0
B: 21 T: 1454385170.0
H: 61 T: 1454385171.0
B: 21 T: 1454385171.0
H: 61 T: 1454385172.0
B: 21 T: 1454385172.0
H: 61 T: 1454385173.0
B: 21 T: 1454385173.0
H: 61 T: 1454385174.0
B: 21 T: 1454385174.0
H: 61 T: 1454385175.0
B: 21 T: 1454385175.0
H: 61 T: 1454385176.0
B: 22 T: 1454385176.0
H: 61 T: 1454385177.0
B: 22 T: 1454385177.0
H: 61 T: 1454385178.0
B: 22 T: 1454385178.0
H: 61 T: 1454385179.0
B: 22 T: 1454385179.0
H: 62 T: 1454385180.0
B: 22 T: 1454385180.0
H: 65 T: 1454385181.0
B: 23 T: 1454385181.0
H: 68 T: 1454385182.0
B: 23 T: 1454385182.0
H: 69 T: 1454385183.0
B: 23 T: 1454385183.0
H: 69 T: 1454385184.0
B: 24 T: 1454385184.0
H: 69 T: 1454385185.0
B: 25 T: 1454385185.0
H: 69 T: 1454385186.0
B: 25 T: 1454385186.0
H: 69 T: 1454385187.0
B: 25 T: 1454385187.0
H: 70 T: 1454385188.0
B: 26 T: 1454385188.0
H: nan T: 1454385189.0
B: 26 T: 1454385189.0
H: nan T: 1454385190.0
B: 26 T: 1454385190.0
H: nan T: 1454385191.0
B: 27 T: 1454385191.0
H: nan T: 1454385192.0
B: 27 T: 1454385192.0
H: nan T: 1454385193.0
B: 26 T: 1454385193.0
H: nan T: 1454385194.0
B: 27 T: 1454385194.0
H: nan T: 1454385195.0
B: 28 T: 1454385195.0
